id,publication_year,cited_by_count,author_ids
https://openalex.org/W2112089058,2011,35,"['A5017602735', 'A5087734969', 'A5090631705', 'A5059645286']"
https://openalex.org/W2165829968,2012,33,"['A5090631705', 'A5063642859', 'A5059645286']"
https://openalex.org/W3099109645,2017,32,"['A5080267104', 'A5052717630']"
https://openalex.org/W2883250047,2018,31,"['A5083476756', 'A5062634559', 'A5026873916', 'A5059645286', 'A5090631705']"
https://openalex.org/W4210719144,2018,31,"['A5012914007', 'A5024445264', 'A5058534097', 'A5059645286']"
https://openalex.org/W2304979390,2016,30,"['A5039475418', 'A5017602735', 'A5045937794', 'A5058534097', 'A5071000982', 'A5082008211', 'A5043881240', 'A5059645286']"
https://openalex.org/W2091266746,2014,29,"['A5031306756', 'A5090252428', 'A5083325500', 'A5042792975']"
https://openalex.org/W2902042294,2018,27,"['A5101890757', 'A5057173168', 'A5013516371', 'A5088455920', 'A5014801885']"
https://openalex.org/W2989690166,2019,26,"['A5083476756', 'A5032363071', 'A5051870388', 'A5026873916', 'A5059645286', 'A5090631705']"
https://openalex.org/W3041002656,2020,24,"['A5011771969', 'A5075527094', 'A5057650206']"
https://openalex.org/W3107923064,2020,23,"['A5089132172', 'A5030252017', 'A5059645286', 'A5005961565']"
https://openalex.org/W4287125334,2021,22,"['A5100328491', 'A5018021084', 'A5063188030', 'A5113469293', 'A5058819105', 'A5069939742', 'A5024050018', 'A5009735497']"
https://openalex.org/W4312583375,2022,14,"['A5036281766', 'A5075915146', 'A5069939742']"
https://openalex.org/W2020963644,2005,47,"['A5019012827', 'A5069308935', 'A5059645286']"
https://openalex.org/W1999193563,2010,33,"['A5087734969', 'A5108204292', 'A5059645286']"
https://openalex.org/W2125269873,2012,32,"['A5062189731', 'A5017602735', 'A5058534097', 'A5090716565', 'A5059645286']"
https://openalex.org/W2123708637,2012,30,"['A5019012827', 'A5017602735', 'A5072822221', 'A5052035076', 'A5059645286']"
https://openalex.org/W2057273317,2013,29,"['A5058534097', 'A5090631705', 'A5035935031', 'A5059645286']"
https://openalex.org/W2885922515,2018,27,"['A5101689796', 'A5064171835']"
https://openalex.org/W1502168533,2015,26,"['A5008556866', 'A5087926819', 'A5017602735', 'A5058534097', 'A5033629153', 'A5059645286', 'A5052720011']"
https://openalex.org/W1821550731,1964,26,"['A5019664372', 'A5059645286']"
https://openalex.org/W2781855270,2018,26,"['A5082824780', 'A5017523423', 'A5023583657', 'A5066480805', 'A5008391561', 'A5038871081', 'A5046560307', 'A5059645286', 'A5003218773']"
https://openalex.org/W2795775561,2018,25,"['A5025105803', 'A5080267104', 'A5028950652']"
https://openalex.org/W2368800210,2016,24,"['A5006939697', 'A5063166187', 'A5060974606', 'A5008049737']"
https://openalex.org/W4235361243,2020,22,"['A5031169711', 'A5082623356', 'A5015781386', 'A5051554812', 'A5005635678', 'A5084102683', 'A5044072805', 'A5059645286', 'A5090631705']"
https://openalex.org/W3084334997,2020,21,"['A5071203172', 'A5080267104']"
https://openalex.org/W3042610737,2020,20,"['A5101890757', 'A5034116647', 'A5022604981', 'A5101423504']"
https://openalex.org/W3164562350,2021,19,"['A5011771969', 'A5075527094', 'A5057650206']"
https://openalex.org/W3157142561,2021,18,"['A5080267104', 'A5019847516', 'A5102396855']"
https://openalex.org/W2055213271,1997,43,['A5059645286']
https://openalex.org/W1982850584,2013,26,"['A5080267104', 'A5057594342', 'A5012215428']"
https://openalex.org/W2062555531,2013,26,"['A5053264719', 'A5030571651', 'A5085927300']"
https://openalex.org/W1970449892,2013,25,"['A5017602735', 'A5017234474', 'A5058534097', 'A5059645286', 'A5005446898']"
https://openalex.org/W2092558468,2012,25,"['A5054248452', 'A5030571651', 'A5005355207', 'A5019622072', 'A5067136327']"
https://openalex.org/W2135572296,2012,25,"['A5030571651', 'A5085927300']"
https://openalex.org/W2176855205,2014,24,"['A5050969688', 'A5069939742', 'A5074441446', 'A5065822688']"
https://openalex.org/W3101062900,2014,22,"['A5080267104', 'A5052717630']"
https://openalex.org/W2294629049,2016,21,"['A5050823275', 'A5055313633', 'A5089811570', 'A5026423096', 'A5059645286', 'A5013515507', 'A5030751624', 'A5040597513', 'A5091575671']"
https://openalex.org/W2966559663,2019,20,"['A5059645286', 'A5043228682']"
https://openalex.org/W3123605394,2021,17,"['A5082623356', 'A5100461965', 'A5112416149', 'A5059645286', 'A5090631705', 'A5081673186']"
https://openalex.org/W3173731808,2021,17,"['A5100454614', 'A5040820784', 'A5046881273', 'A5032530421', 'A5112283852']"
https://openalex.org/W3209478414,2021,16,"['A5087150169', 'A5040820784', 'A5032530421']"
https://openalex.org/W1967944616,1993,38,"['A5059645286', 'A5004873819', 'A5009074425']"
https://openalex.org/W2114274146,2005,34,"['A5005446898', 'A5059645286', 'A5109002977']"
https://openalex.org/W1970217683,1981,29,"['A5074700845', 'A5067482210', 'A5059645286', 'A5066306725', 'A5002420393', 'A5090202672', 'A5068032162']"
https://openalex.org/W1803913769,2010,24,"['A5059645286', 'A5043881240', 'A5062618168', 'A5032112045', 'A5029368066', 'A5052035076', 'A5083957005', 'A5057286641', 'A5113501513']"
https://openalex.org/W2071433162,2013,21,"['A5085927300', 'A5030571651', 'A5100338921', 'A5002709735', 'A5091757455']"
https://openalex.org/W2791503433,2018,19,"['A5083476756', 'A5015216001', 'A5058534097', 'A5059645286']"
https://openalex.org/W2792553361,2018,19,"['A5012989554', 'A5083476756', 'A5052720011', 'A5059645286']"
https://openalex.org/W2981275453,2019,19,"['A5002735772', 'A5063166187']"
https://openalex.org/W4289147971,2018,19,"['A5076202690', 'A5042104049', 'A5059645286', 'A5037525426']"
https://openalex.org/W1640532445,2016,17,"['A5003213649', 'A5037087050', 'A5063166187', 'A5029121256', 'A5088539840', 'A5064827570', 'A5082358191']"
https://openalex.org/W3005866063,2020,17,"['A5090252428', 'A5038706435']"
https://openalex.org/W3030862510,2020,16,"['A5078247174', 'A5001989092', 'A5040820784', 'A5032530421']"
https://openalex.org/W3086766959,2020,16,"['A5059645286', 'A5069623259']"
https://openalex.org/W2094960530,1999,37,"['A5059645286', 'A5071953618', 'A5015842765', 'A5022676925', 'A5052035076']"
https://openalex.org/W2068317775,1992,34,['A5059645286']
https://openalex.org/W1570175273,1990,30,"['A5059645286', 'A5083267498', 'A5063525389']"
https://openalex.org/W1996362250,2006,27,"['A5013552926', 'A5018411477', 'A5108753664', 'A5069165211', 'A5101799446', 'A5103420881', 'A5049271846', 'A5003138503', 'A5029611705']"
https://openalex.org/W2064593952,2007,26,"['A5080267104', 'A5007424153']"
https://openalex.org/W2122314165,2009,21,"['A5039486064', 'A5063166187', 'A5056748708', 'A5064827570', 'A5062093738']"
https://openalex.org/W1563621757,2015,17,"['A5028696190', 'A5059645286']"
https://openalex.org/W1987272179,2014,17,"['A5076503587', 'A5082274535', 'A5059645286', 'A5053185418']"
https://openalex.org/W2803208522,2018,16,"['A5101890757', 'A5040496174', 'A5038985282', 'A5101519567', 'A5101423504']"
https://openalex.org/W2966795908,2019,16,"['A5017602735', 'A5059645286', 'A5057286641', 'A5090631705', 'A5058534097']"
https://openalex.org/W3101888384,2018,16,"['A5061857062', 'A5063166187', 'A5064827570', 'A5082358191']"
https://openalex.org/W3106511093,2018,16,"['A5080267104', 'A5015324466', 'A5052717630']"
https://openalex.org/W3014592077,2020,14,"['A5017602735', 'A5058534097', 'A5057284688', 'A5059645286', 'A5018185509', 'A5083957005', 'A5052720011']"
https://openalex.org/W3111885774,2020,14,"['A5044072805', 'A5055822217', 'A5059645286', 'A5052648442']"
https://openalex.org/W1982178500,2003,28,"['A5065301160', 'A5111667138']"
https://openalex.org/W2074122179,2007,22,"['A5060610138', 'A5059645286', 'A5004286609', 'A5057286641', 'A5026663035']"
https://openalex.org/W1991439408,1976,21,"['A5006414230', 'A5059645286']"
https://openalex.org/W2019414886,2010,19,"['A5087734969', 'A5113501513', 'A5059645286']"
https://openalex.org/W2138347720,2015,14,"['A5058534097', 'A5090631705', 'A5055792640', 'A5059645286']"
https://openalex.org/W2218275415,2015,14,['A5059645286']
https://openalex.org/W2809170500,2018,14,"['A5100662579', 'A5044080500', 'A5100638587', 'A5032499168']"
https://openalex.org/W2809379093,2018,14,"['A5100662579', 'A5021191533', 'A5100430890', 'A5032499168']"
https://openalex.org/W2903104651,2018,14,"['A5025105803', 'A5080267104', 'A5028950652']"
https://openalex.org/W3123534959,2017,14,"['A5068256800', 'A5016737786', 'A5061483468']"
